ValueG,DIFF_BRG,ValueR,DEFECT_RBG,PKR.B,MinG,DEFECT_SIZE_Y,PKG.B,MaxB,BlackRatio,ValueB,MeanG.B,G,PKB.R,DEFECT_LENGTH,PKR,CBlobCnt,DEFECT_SIZE_X,DEFECT_AREAR3,CTB,DEFECT_TYPE
-15.22317,-37,-26.30444,141,2.522878,59.49787,8.663,0.4915997,147.6502,2.014423,-25.28589,1.379628,104.6338,-0.4796148,11.092,60.81528,-0.2135303,6.927,5.347,109.9818,G
-40.73755,-30,-29.39628,136,1.646441,55.52978,5.155,-0.3317731,147.9722,0.9793697,-45.21578,1.101205,99.37102,0.5898849,6.96,57.48345,7.048043,4.677,2.924,114.2904,G
-37.42764,-24,-15.37128,130,1.510066,99.73963,5.352,-0.06400298,129.643,1.62802,-45.82193,1.662702,102.3154,1.258509,7.356,46.53562,-0.06261954,5.047,2.692,125.3099,G
-64.42204,42,-50.93333,187,1.485099,93.052,5.7,-0.1788248,168.5495,1.107914,-67.30496,1.77053,119.8489,2.35333,6.441,31.22209,1.264411,3,3.125,127.5059,NG
-28.90409,-31,-20.47546,132,2.721341,69.64538,4.797,-0.2352434,111.6308,2.214963,-29.53534,1.775908,89.27162,-0.09582349,5.791,53.83955,0.244656,3.245,2.47,84.95751,G
-27.94569,-41,-28.34427,136,2.562149,58.95998,3.79,-0.1386759,67.35143,1.870011,-22.73473,1.772509,76.70186,-0.7324127,6.229,61.58048,-0.1138909,4.943,3.265,61.12313,G
17.78299,-30,17.10034,172,2.076208,25.61784,14.968,0.09600338,207.3365,1.279473,12.62293,1.681693,71.49438,-0.7739186,17.442,22.18523,2.228218,8.955,7.29,113.3047,G
-43.58832,-37,-33.70375,147,3.169734,86.94755,3.093,0.5072785,71.32225,1.573148,-13.62038,2.809839,118.6012,-0.7473078,6.589,81.76263,0.1516022,5.818,2.593,62.59017,NG
-33.89513,-37,-27.11204,156,2.759451,74.06057,4.654,0.1255796,60.95262,1.595203,-19.07624,1.979049,87.65069,-1.185557,5.957,67.03307,-0.3612821,3.718,2.405,53.73477,NG
-22.86029,-20,-17.48188,90,1.663181,66.79253,6.623,0.07990242,119.2922,1.336298,-30.46433,1.860597,92.68664,-0.207735,7.212,65.2599,-0.4048188,2.854,2.534,112.3744,G
