외부기온,내부기온,내외부기온차,외부상대습도,내부상대습도,내외부상대습도차,외부CO2,내부CO2,내외부CO2차,외부풍속,외부일사량,환기율,환기창면적,작물유무,작물유무수치
25.3,33,7.7,36.7,25,11.7,512.5,486,26.5,3.998,565.2,6.117,0.15,no,0
24.9,32.3,7.4,38,25.9,12.1,510.5,483,27.5,3.822,538,5.862,0.15,no,0
25,31.7,6.7,37.6,26.5,11.1,531,495,36,3.113,508.4,4.871,0.15,no,0
24.8,30.9,6.1,38.1,27,11.1,504.5,497,7.5,4.482,472,6.725,0.15,no,0
24.7,30.8,6.1,37.9,27.8,10.1,519.5,486.5,33,4.248,451.1,6.399,0.15,no,0
24.4,30.2,5.9,38.9,28.2,10.7,518,486.5,31.5,4.078,422.7,6.152,0.15,no,0
24,30.1,6.2,40,29.2,10.8,526.5,496.5,30,3.783,372.9,5.757,0.15,no,0
23.8,29.4,5.6,41.1,30.1,11,517,489.5,27.5,3.453,332.1,5.279,0.15,no,0
23.3,28.2,4.9,40.1,30.5,9.6,507.5,493,14.5,3.979,324.5,5.976,0.15,no,0
23,27.1,4.2,40.5,31.6,8.9,512,503,9,4.288,306.2,6.378,0.15,no,0
22.6,26.5,4,42,33.4,8.6,528,498.5,29.5,4.255,265.9,6.324,0.15,no,0
21.9,25.8,3.9,42.4,33.6,8.8,522.5,503.5,19,3.472,227.1,5.22,0.15,no,0
21.4,24.8,3.4,43.2,34.9,8.3,527.5,505.5,22,3.387,187.2,5.081,0.15,no,0
19.5,26.1,6.7,65.9,52.6,13.3,553.5,521,32.5,0.21,377.1,1.881,0.15,no,0
20.5,27.9,7.5,63.5,49.5,14,538.5,510.5,28,1.058,409.3,2.485,0.15,no,0
21.1,29.1,8,53.2,43,10.2,543.5,508,35.5,1.143,443.5,2.616,0.15,no,0
22,30.2,8.2,53.4,40.2,13.2,518,480.5,37.5,1.48,485.7,2.967,0.15,no,0
22.8,31,8.2,51.1,37.5,13.6,528.5,481,47.5,0.825,473.9,2.367,0.15,no,0
23,31.2,8.2,48.1,34.7,13.4,524.5,490,34.5,1.883,536.6,3.409,0.15,no,0
23.2,31.8,8.6,46.3,33.3,13,513.5,478.5,35,1.965,559.7,3.533,0.15,no,0
23.7,32.3,8.6,44.5,31.9,12.6,531.5,469.5,62,2.896,584.4,4.687,0.15,no,0
24,32.4,8.4,43,30.8,12.2,518.5,483.5,35,2.741,566,4.477,0.15,no,0
24.4,32.4,8,42.5,29.9,12.6,531.5,480.5,51,2.514,621.8,4.161,0.15,no,0
24.5,32.4,8,41.2,29.6,11.6,519.5,468,51.5,3.017,682.5,4.81,0.15,no,0
24.5,33,8.5,42.2,29.6,12.6,528,464.5,63.5,2.495,643.3,4.164,0.15,no,0
24.7,32.6,7.9,40,28.5,11.5,530,476,54,2.965,591.4,4.738,0.15,no,0
25.4,33.8,8.4,40.6,27.5,13.1,517,470.5,46.5,2.738,752.2,4.466,0.15,no,0
25.5,33.3,7.8,40.1,28.3,11.8,536.5,475.5,61,3.575,697.2,5.545,0.15,no,0
25.4,33.4,8,39.7,27.2,12.5,513,492,21,3.038,713.3,4.836,0.15,no,0
25.9,34.2,8.3,39.1,27.3,11.8,517,493,24,2.468,770.4,4.12,0.15,no,0
26.5,34.3,7.9,38.7,26.1,12.6,521.5,475.5,46,4.502,788.7,6.817,0.15,no,0
25.9,33.9,8,38.6,26.8,11.8,525.5,483.5,42,3.607,747.6,5.598,0.15,no,0
25.9,33.4,7.5,37.6,25.8,11.8,528,479.5,48.5,3.856,693.4,5.914,0.15,no,0
25.1,32.1,7,38.5,26.6,11.9,528,485.5,42.5,3.705,601.1,5.688,0.15,no,0
25.6,31.6,6.1,39.5,28.8,10.7,533,472.5,60.5,4.745,524.5,7.091,0.15,no,0
25.1,31.1,6.1,39,28.5,10.5,524,481,43,4.633,613.3,6.933,0.15,no,0
24.7,29.9,5.3,41.1,30.5,10.6,525,494,31,4.523,464.2,6.751,0.15,no,0
25.1,30.7,5.6,40.6,30.2,10.4,525,495.5,29.5,3.444,514.1,5.262,0.15,no,0
24.8,30.2,5.5,40.3,30.5,9.8,528,484,44,3.548,499,5.401,0.15,no,0
24.1,29.2,5.1,42.4,32,10.4,537.5,494.5,43,4.144,360.8,6.214,0.15,no,0
24,28.7,4.7,42.7,33.1,9.6,520,498,22,4.477,408.4,6.663,0.15,no,0
24.5,29.2,4.8,41.3,32.5,8.8,513.5,487.5,26,3.937,513.4,5.91,0.15,no,0
24.7,29.6,4.9,40.6,31.7,8.9,520,483.5,36.5,4.074,521.8,6.108,0.15,no,0
24.9,31,6.1,39.7,30.3,9.4,518,482,36,3.137,621.1,4.872,0.15,no,0
25.1,31.6,6.5,39.2,29,10.2,516.5,488,28.5,3.847,659.3,5.859,0.15,no,0
25.1,32.3,7.2,39.6,28.4,11.2,509.5,491,18.5,4.276,676.7,6.479,0.15,no,0
25.7,33.3,7.6,39.5,27.5,12,520.5,479,41.5,3.314,702.8,5.181,0.15,no,0
25.5,32.7,7.2,38.9,27.4,11.5,525,484.5,40.5,3.826,563.5,5.861,0.15,no,0
24.8,31.2,6.4,39.6,28.2,11.4,524,476.5,47.5,3.868,490.1,5.885,0.15,no,0
24.8,31.1,6.4,39.5,28.5,11,527,495,32,3.748,563.2,5.716,0.15,no,0
24.2,30.3,6.2,40.4,29,11.4,515.5,486,29.5,3.895,477.9,5.912,0.15,no,0
24.3,30.4,6.1,40.4,29.5,10.9,520,494,26,4.171,479.6,6.293,0.15,no,0
24.1,29.7,5.6,40.7,29.7,11,539,486,53,3.673,453.9,5.581,0.15,no,0
23.4,28.2,4.8,42.4,32.3,10.1,522,493.5,28.5,4.363,300.7,6.51,0.15,no,0
23.4,28.4,5,42.8,32.9,9.9,517.5,496,21.5,3.224,371.1,4.934,0.15,no,0
23,27.8,4.8,45.2,33.8,11.4,525.5,503,22.5,2.827,297.1,4.384,0.15,no,0
22.5,26.9,4.5,45.6,34.6,11,530.5,497,33.5,2.543,228.8,3.982,0.15,no,0
22.4,26.2,3.8,45.2,35.8,9.4,530.5,499,31.5,3.051,241.2,4.633,0.15,no,0
22,25.1,3.1,46.2,37.6,8.6,524.5,514,10.5,3.225,148,4.839,0.15,no,0
22.1,24.8,2.7,46.9,38.4,8.5,513.5,518,4.5,2.381,157.9,3.644,0.15,no,0
21.9,24.3,2.5,45.9,38.5,7.4,533.5,498.5,35,2.912,178.3,4.363,0.15,no,0
21.8,24.2,2.4,46.9,39.9,7,515,514,1,3.038,143,4.538,0.15,no,0
